Studio ItemNo	BaseStudioItemNo	BL ItemNo	BL ItemKey	LDraw ItemNo	LDD ItemNo	Description	isPerfectForCulling	BLCatalogIndex	BLCatalogSubIndex	EasyModeIndex	IsAssembly?	flexible type	IsDecorated	XPCatalogIndex	XPCatalogSubIndex
1247	1247	30388	1247	30388.dat	30388	Hinge Brick 1 x 6 Locking with 1 Finger Vertical End and 2 Fingers Vertical End	o	48	-1	21	False		False	5021	
1974	1974	30389	1974	30389a.dat	30389	Hinge Brick 2 x 2 Locking with 1 Finger Vertical (Undetermined Type)	o	0	0	0	False		False	5021	
-498	1974	30389	1974	30389.dat		Hinge Brick 2 x 2 Locking with 1 Finger Vertical	o	0	0	0	False		True		
37549	37549	30389b	37549	30389b.dat		Hinge Brick 2 x 2 Locking with 1 Finger Vertical and Axle Hole	o	48	-1	21	False		False	5021	
56547	56547	30389c	56547	30389c.dat		Hinge Brick 2 x 2 Locking with 1 Finger Vertical and Axle Hole (x Shape)	o	48	-1	21	False		False	5021	
38542	413	3038pb02	38542	3038p01.dat		Slope 45 2 x 3 with Black and Yellow Vertical Stripe Pattern	o	82	1	5	False		True	5006	5006
417	417	3039	417	3039.dat	3039	Slope 45 2 x 2	o	81	1	5	False		False	5006	5006
-388	417	3039	417	6227.dat		Slope 45 2 x 2	o	0	0	0	False		True		
-776	417	3039	417	303926.dat		Slope 45 2 x 2	o	0	0	0	False		True		
-775	417	3039	417	303923.dat		Slope 45 2 x 2	o	0	0	0	False		True		
-614	417	3039	417	63341.dat		Slope 45 2 x 2	o	0	0	0	False		True		
1190	1190	30390	1190	30390.dat	30390	Slope, Inverted 45 4 x 2 Double with Pins	o	81	4	5	False		False	5006	5023
3461	3461	30391	3461	30391.dat	30391	Tire 30.4 x 14 Offset Tread	o	108	3	25	False		False	5063	5072
2344	2344	30394	2344	30394.dat	30394	Vehicle, Digger Bucket 7 Teeth 3 x 6 with Locking 2 Finger Hinge	o	104	1	25	False		False	5063	5069
2860	2860	30395	2860	30395.dat	30395	Hook with Tow Ball	o	52	-1	25	False		False	5087	5883
3156	3156	30396	3156	30396.dat	30396	Hinge 1 x 2 Locking with 2 Fingers and Tow Ball Socket	o	48	-1	21	False		False	5021	
2876	2876	30397	2876	30397.dat		Technic, Link 1 x 5	o	94	10	15	False		False	5034	5038
2312	2312	30398	2312	30398.dat		Vehicle, Tipper Drum 4 x 4 x 5 Cement Mixer with 2 Pins	o	104	1	25	False		False	5063	5069
985	985	30399	985	30399.dat		Baseplate, Raised Support 8 x 18 x 3 Roadway Base	o	7	2	20	False		True	5022	5027
418	417	3039p05	418	3039p05.dat		Slope 45 2 x 2 with Black Grille with 7 Vertical Lines Pattern	o	82	1	5	False		True	5006	5006
419	417	3039p10	419	3039p10.dat		Slope 45 2 x 2 with Yellow Grille with 7 Vertical Lines Pattern	o	82	1	5	False		True	5006	5006
66109	417	3039p11	66109	3039p11.dat		Slope 45 2 x 2 with Black Phone Receiver and Buttons Pattern	o	82	1	5	False		True	5006	5006
66106	417	3039p12	66106	3039p12.dat		Slope 45 2 x 2 with White Phone Receiver and Buttons Pattern	o	82	1	5	False		True	5006	5006
